,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,hub_height
116,,WTIV,Attach Blade,1.5,18750.0,ACTION,3009.345719044452,TurbineInstallation,TurbineInstallation,,40.0,122.0
117,,WTIV,Jackdown,0.43333333333333335,5416.666666666667,ACTION,3009.7790523777853,TurbineInstallation,TurbineInstallation,,40.0,122.0
118,,WTIV,Release Transition Piece,10.0,208333.3333333333,ACTION,3011.533000504755,MonopileInstallation,,,,
119,,Feeder 0,ActiveFeeder,2885.5266930698776,9017270.915843368,ACTION,3011.533000504755,MonopileInstallation,,Site,,
120,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,3012.533000504755,MonopileInstallation,MonopileInstallation,,40.0,
121,,Feeder 0,Transit,4.841543614544483,15129.823795451508,ACTION,3013.1339293256633,TurbineInstallation,,,,
122,,Feeder 0,Jackdown,1.6666666666666667,5208.333333333334,ACTION,3013.1996671714214,MonopileInstallation,MonopileInstallation,,,
123,,WTIV,Lower TP,1.0,20833.333333333332,ACTION,3013.533000504755,MonopileInstallation,MonopileInstallation,,40.0,
124,,WTIV,Position Onsite,5.0,62500.0,ACTION,3014.7790523777853,TurbineInstallation,,,,
125,,Feeder 0,Fasten Tower Section,2.0,6250.0,ACTION,3015.1339293256633,TurbineInstallation,TurbineInstallation,,,
126,,WTIV,Jackup,0.43333333333333335,5416.666666666667,ACTION,3015.2123857111187,TurbineInstallation,TurbineInstallation,,40.0,122.0
127,,WTIV,Release Tower Section,1.0,12500.0,ACTION,3016.2123857111187,TurbineInstallation,,,,
128,,WTIV,Lift Tower Section,0.62,7750.0,ACTION,3016.8323857111186,TurbineInstallation,TurbineInstallation,,40.0,122.0
129,,Feeder 0,Fasten Tower Section,2.0,6250.0,ACTION,3017.1339293256633,TurbineInstallation,TurbineInstallation,,,
