,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,num_vessels,num_ahts_vessels
633,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,4917.936780661056,MooredSubInstallation,,,
634,,Towing Group 1,Delay,3.0,21250.0,ACTION,4918.936780661056,MooredSubInstallation,,2.0,1.0
635,,Substructure Assembly Line 1,Substructure Assembly,168.0,0.0,ACTION,4925.936780661056,MooredSubInstallation,,,
636,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,4929.936780661056,MooredSubInstallation,,,
637,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,4933.936780661056,MooredSubInstallation,,,
638,,Towing Group 1,Tow Substructure,16.248692111011646,115094.90245299917,ACTION,4935.185472772067,MooredSubInstallation,,2.0,1.0
639,,Towing Group 1,Position Substructure,2.0,14166.666666666668,ACTION,4937.185472772067,MooredSubInstallation,,2.0,1.0
640,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,4937.936780661056,MooredSubInstallation,,,
641,,Towing Group 1,Ballast to Operational Draft,6.0,42500.0,ACTION,4943.185472772067,MooredSubInstallation,,2.0,1.0
642,,Turbine Assembly Line 1,Lift and Attach Nacelle,12.0,0.0,ACTION,4949.936780661056,MooredSubInstallation,,,
643,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,4953.436780661056,MooredSubInstallation,,,
644,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,4956.936780661056,MooredSubInstallation,,,
645,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,4960.436780661056,MooredSubInstallation,,,
646,,Towing Group 1,"Connect Mooring Lines, Pre-tension and pre-stretch",20.0,141666.6666666667,ACTION,4963.185472772067,MooredSubInstallation,,2.0,1.0
647,,Towing Group 1,Check Mooring Lines,6.0,42500.0,ACTION,4969.185472772067,MooredSubInstallation,,2.0,1.0
648,,Towing Group 1,Transit,6.383414757897432,45215.85453510682,ACTION,4975.568887529966,MooredSubInstallation,,2.0,1.0
649,,Turbine Assembly Line 1,Mechanical Completion,24.0,0.0,ACTION,4984.436780661056,MooredSubInstallation,,,
650,,Turbine Assembly Line 1,Electrical Completion,72.0,0.0,ACTION,5056.436780661056,MooredSubInstallation,,,
651,,Towing Group 2,Delay: No Completed Turbine Assemblies,583.3678931310909,4132189.243011894,ACTION,5056.436780661056,MooredSubInstallation,,2.0,1.0
652,,Towing Group 2,Ballast to Towing Draft,6.0,42500.0,ACTION,5062.436780661056,MooredSubInstallation,,2.0,1.0
653,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,5064.436780661056,MooredSubInstallation,,,
654,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,5076.436780661056,MooredSubInstallation,,,
655,,Towing Group 2,Tow Substructure,16.248692111011646,115094.90245299917,ACTION,5078.685472772067,MooredSubInstallation,,2.0,1.0
656,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,5080.436780661056,MooredSubInstallation,,,
657,,Towing Group 2,Position Substructure,2.0,14166.666666666668,ACTION,5080.685472772067,MooredSubInstallation,,2.0,1.0
658,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,5084.436780661056,MooredSubInstallation,,,
659,,Towing Group 2,Ballast to Operational Draft,6.0,42500.0,ACTION,5086.685472772067,MooredSubInstallation,,2.0,1.0
660,,Substructure Assembly Line 1,Substructure Assembly,168.0,0.0,ACTION,5093.936780661056,MooredSubInstallation,,,
661,,Turbine Assembly Line 1,Lift and Attach Nacelle,12.0,0.0,ACTION,5096.436780661056,MooredSubInstallation,,,
662,,Towing Group 2,"Connect Mooring Lines, Pre-tension and pre-stretch",20.0,141666.6666666667,ACTION,5106.685472772067,MooredSubInstallation,,2.0,1.0
663,,Towing Group 2,Check Mooring Lines,3.0,21250.0,ACTION,5109.685472772067,MooredSubInstallation,,2.0,1.0
664,,Towing Group 2,Delay,7.0,49583.333333333336,ACTION,5116.685472772067,MooredSubInstallation,,2.0,1.0
665,,Towing Group 2,Check Mooring Lines,3.0,21250.0,ACTION,5119.685472772067,MooredSubInstallation,,2.0,1.0
